o_iti_it bp fp     mu             rho                  LogCost              OptError             Error Reg   Step  Upt
   1   0  0 11 1.0000          1.0000                  -3.3736             4611.3582        31211.5960   0 0.0010    0
 204  43  0  0 0.0080       1000.0000                3468.7367             1795.0709            0.0001   2 0.0039  199
 205  44  0  0 0.0080       1000.0000                3465.4835             1788.0589            0.0001   2 0.0078  200
 206  45  0  0 0.0080       1000.0000                3462.2551             1774.0897            0.0001   2 0.0078  201
 207  46  0  0 0.0080       1000.0000                3459.0507             1760.2296            0.0001   2 0.0078  202
 208  47  0  0 0.0080       1000.0000                3455.8697             1746.4778            0.0001   2 0.0078  203
 209  48  0  0 0.0080       1000.0000                3452.7113             1732.8334            0.0001   2 0.0078  204
 210  49  0  0 0.0080       1000.0000                3449.5749             1719.2957            0.0001   2 0.0078  205
 211  50  0  0 0.0080       1000.0000                3446.4598             1705.8637            0.0001   2 0.0078  206
 212  51  0  0 0.0080       1000.0000                3443.3652             1692.5366            0.0001   2 0.0078  207
 213  52  0  0 0.0080       1000.0000                3440.2905             1679.3137            0.0001   2 0.0078  208
 214  53  0  0 0.0080       1000.0000                3437.2347             1666.1940            0.0001   2 0.0078  209
 215  54  0  0 0.0080       1000.0000                3434.1969             1653.1769            0.0001   2 0.0078  210
 216  55  0  0 0.0080       1000.0000                3431.1761             1640.2614            0.0001   2 0.0078  211
 217  56  0  0 0.0080       1000.0000                3428.1711             1627.4469            0.0001   2 0.0078  212
 218  57  0  0 0.0080       1000.0000                3425.1805             1614.7325            0.0001   2 0.0078  213
 219  58  0  0 0.0080       1000.0000                3422.2025             1602.1174            0.0001   2 0.0078  214
 220  59  0  0 0.0080       1000.0000                3419.2349             1589.6008            0.0001   2 0.0078  215
 221  60  0  0 0.0080       1000.0000                3413.3132             1577.1821            0.0001   2 0.0156  216
 222  61  0  0 0.0080       1000.0000                3410.3574             1552.5386            0.0001   2 0.0078  217
 223  62  0  0 0.0080       1000.0000                3407.3931             1540.4094            0.0001   2 0.0078  218
 224  63  0  0 0.0080       1000.0000                3404.4090             1528.3749            0.0001   2 0.0078  219
 225  64  0  0 0.0080       1000.0000                3401.3875             1516.4345            0.0001   2 0.0078  220
 226  65  0  0 0.0080       1000.0000                3398.2984             1504.5874            0.0001   2 0.0078  221
 227  66  0  0 0.0080       1000.0000                3391.8741             1492.8328            0.0001   2 0.0156  222
 228  67  0  0 0.0080       1000.0000                3388.0151             1469.5073            0.0001   2 0.0078  223
